name,createdAt,updatedAt,releases,primaryLanguage,mergedPullRequests,closedIssues,totalIssues,closedVsTotalIssues,daysSinceLastUpdate,repoAgeInDays,popularLanguage
ratchet,2012-08-17,2019-09-08,4,CSS,231,332,535,0.621,1,2579,False
pure-bash-bible,2018-06-13,2019-09-09,0,Shell,21,16,31,0.516,0,453,False
algo,2016-05-15,2019-09-09,2,Python,384,1062,1106,0.96,0,1212,True
Wox,2013-12-19,2019-09-09,25,C#,165,1527,2291,0.667,0,2090,True
pkg,2016-08-08,2019-09-09,22,JavaScript,37,271,677,0.4,0,1127,True
statsd,2010-12-30,2019-09-08,0,JavaScript,285,212,250,0.848,1,3175,True
react-spring,2018-03-07,2019-09-09,4,JavaScript,197,475,565,0.841,0,551,True
tailwindcss,2017-10-06,2019-09-09,51,CSS,425,503,535,0.94,0,703,False
swoole-src,2012-07-21,2019-09-09,172,C++,552,2020,2083,0.97,0,2606,True
masonry,2009-11-21,2019-09-08,22,HTML,10,1041,1057,0.985,1,3579,False
zheng,2016-10-04,2019-09-09,0,Java,10,57,85,0.671,0,1070,True
phoenix,2014-01-20,2019-09-09,20,Elixir,1377,1766,1786,0.989,0,2058,False
parallax,2013-08-01,2019-09-08,11,JavaScript,14,199,237,0.84,1,2230,True
openpose,2017-04-24,2019-09-09,13,C++,108,1145,1161,0.986,0,868,True
tinker,2016-09-06,2019-09-09,28,Java,48,958,1121,0.855,0,1098,True
lectures,2017-02-06,2019-09-08,0, ,4,6,15,0.4,1,945,False
recompose,2015-10-07,2019-09-08,42,JavaScript,246,371,426,0.871,1,1433,True
glances,2011-12-04,2019-09-09,18,Python,339,991,1108,0.894,0,2836,True
Daily-Interview-Question,2019-01-19,2019-09-09,0,JavaScript,14,119,256,0.465,0,233,True
acme.sh,2015-12-26,2019-09-09,24,Shell,738,1022,1418,0.721,0,1353,False
MS-DOS,2018-06-25,2019-09-08,0,Assembly,34,39,52,0.75,1,441,False
websocketd,2013-02-14,2019-09-08,6,Go,78,237,262,0.905,1,2398,False
spf13-vim,2010-04-20,2019-09-08,0,Vim script,256,406,716,0.567,1,3429,False
winston,2010-12-29,2019-09-09,0,JavaScript,328,840,1082,0.776,0,3176,True
validator.js,2010-10-06,2019-09-09,3,JavaScript,343,529,601,0.88,0,3260,True
trix,2013-08-01,2019-09-09,25,CoffeeScript,98,488,518,0.942,0,2230,False
HowToBeAProgrammer,2016-01-04,2019-09-09,0, ,84,17,21,0.81,0,1344,False
sharp,2013-08-19,2019-09-09,16,JavaScript,156,1558,1637,0.952,0,2212,True
vuepress,2018-04-05,2019-09-09,1,JavaScript,495,967,1123,0.861,0,522,True
awesome-blockchain-cn,2017-03-12,2019-09-09,0,JavaScript,7,19,26,0.731,0,911,True
inferno,2015-02-01,2019-09-09,153,JavaScript,523,776,803,0.966,0,1681,True
wechat_jump_game,2017-12-29,2019-09-09,2,Python,146,958,983,0.975,0,619,True
vault,2015-02-25,2019-09-09,0,Go,3746,2696,3146,0.857,0,1657,False
ExoPlayer,2014-06-13,2019-09-09,0,Java,385,5259,5605,0.938,0,1914,True
css-protips,2015-08-29,2019-09-08,0, ,39,37,42,0.881,1,1472,False
medium-editor,2013-05-29,2019-09-08,149,JavaScript,512,595,883,0.674,1,2294,True
ui-router,2013-01-18,2019-09-07,51,TypeScript,289,2810,3152,0.891,2,2425,True
react-loadable,2017-03-09,2019-09-09,0,JavaScript,88,0,0,0,0,914,True
gfwlist,2015-03-13,2019-09-09,0, ,0,1323,1671,0.792,0,1641,False
riot,2013-09-27,2019-09-08,25,JavaScript,434,1996,2000,0.998,1,2173,True
Mask_RCNN,2017-10-19,2019-09-09,3,Python,65,527,1546,0.341,0,690,True
magenta,2016-05-05,2019-09-09,32,Python,862,400,588,0.68,0,1222,True
dva,2016-06-24,2019-09-09,30,JavaScript,186,1893,1927,0.982,0,1172,True
ionicons,2013-10-10,2019-09-08,27,HTML,26,367,625,0.587,1,2160,False
solarized,2011-02-18,2019-09-09,0,Vim script,21,93,242,0.384,0,3125,False
lime,2012-10-03,2019-09-09,0, ,159,378,399,0.947,0,2532,False
airflow,2015-04-13,2019-09-09,11,Python,2645,0,0,0,0,1610,True
chinese-independent-developer,2017-09-21,2019-09-09,0, ,76,40,42,0.952,0,718,False
crystal,2012-11-27,2019-09-09,75,Crystal,2633,3819,4553,0.839,0,2477,False
jenkins,2010-11-22,2019-09-09,5,Java,2921,0,0,0,0,3213,True
ice,2016-11-03,2019-09-09,13,JavaScript,1509,1092,1129,0.967,0,1040,True
N-blog,2013-05-27,2019-09-09,0,JavaScript,25,418,431,0.97,0,2296,True
plaid,2015-10-30,2019-09-09,0,Kotlin,349,233,304,0.766,0,1410,False
ipython,2010-05-10,2019-09-09,27,Python,4771,4941,6126,0.807,0,3409,True
prepack,2015-10-28,2019-09-07,43,JavaScript,500,560,766,0.731,2,1412,True
react-sketchapp,2017-04-21,2019-09-09,16,JavaScript,142,216,257,0.84,0,871,True
cobra,2013-09-03,2019-09-09,5,Go,266,294,478,0.615,0,2197,False
Android-CleanArchitecture,2014-08-19,2019-09-09,0,Java,13,119,241,0.494,0,1847,True
AR.js,2017-02-17,2019-09-08,0,JavaScript,62,418,476,0.878,1,934,True
zju-icicles,2016-06-28,2019-09-09,0,C,68,18,22,0.818,0,1168,True
redash,2013-10-28,2019-09-09,92,Python,2006,1281,1631,0.785,0,2142,True
quick-look-plugins,2013-12-07,2019-09-08,0, ,20,67,70,0.957,1,2102,False
helm,2015-10-06,2019-09-09,76,Go,2333,2680,3477,0.771,0,1434,False
PHPMailer,2011-08-23,2019-09-09,33,PHP,237,1380,1418,0.973,0,2939,True
RedisDesktopManager,2013-08-05,2019-09-09,57,C++,203,4190,4220,0.993,0,2226,True
js-cookie,2015-03-19,2019-09-09,22,JavaScript,39,335,344,0.974,0,1635,True
cs-video-courses,2016-10-21,2019-09-09,0, ,64,18,21,0.857,0,1053,False
egg,2016-06-18,2019-09-09,69,JavaScript,888,2837,2916,0.973,0,1178,True
learnGitBranching,2012-08-13,2019-09-09,0,JavaScript,279,261,288,0.906,0,2583,True
Blog,2017-03-13,2019-09-09,0, ,3,63,138,0.457,0,910,False
pyspider,2014-02-21,2019-09-09,13,Python,88,532,758,0.702,0,2026,True
f8app,2016-03-10,2019-09-09,0,JavaScript,14,186,202,0.921,0,1278,True
fish-shell,2012-05-10,2019-09-09,24,Shell,589,4036,4513,0.894,0,2678,False
