name,createdAt,updatedAt,releases,primaryLanguage,mergedPullRequests,closedIssues,totalIssues,closedVsTotalIssues,daysSinceLastUpdate,repoAgeInDays,popularLanguage
front-end-guide,2017-04-24,2019-09-09,0,JavaScript,14,8,9,0.889,0,868,True
rancher,2014-11-07,2019-09-09,399,Go,2852,17542,19362,0.906,0,1767,False
pytudes,2017-03-01,2019-09-09,0,Jupyter Notebook,37,10,16,0.625,0,922,False
Telegram,2013-10-25,2019-09-09,0,Java,15,0,0,0,0,2145,True
black,2018-03-14,2019-09-09,1,Python,232,520,701,0.742,0,544,True
funNLP,2018-08-21,2019-09-09,0,Python,8,12,12,1.0,0,384,True
SwiftLint,2015-05-16,2019-09-09,67,Swift,1109,1193,1462,0.816,0,1577,True
recharts,2015-08-07,2019-09-09,0,JavaScript,206,962,1576,0.61,0,1494,True
openpilot,2016-11-24,2019-09-09,12,C,215,248,273,0.908,0,1019,True
pouchdb,2010-06-10,2019-09-08,62,JavaScript,1365,3749,3797,0.987,1,3378,True
homebridge,2014-12-01,2019-09-09,0,JavaScript,204,1933,2043,0.946,0,1743,True
logrus,2013-10-16,2019-09-09,7,Go,330,322,444,0.725,0,2154,False
Snap.svg,2013-08-15,2019-09-08,0,JavaScript,41,283,513,0.552,1,2216,True
requirejs,2010-02-03,2019-09-09,0,JavaScript,118,1256,1480,0.849,0,3505,True
delve,2014-05-20,2019-09-09,4,Go,543,857,939,0.913,0,1938,False
yoga,2014-04-07,2019-09-09,21,C++,102,250,420,0.595,0,1981,True
CircleImageView,2014-01-17,2019-09-09,0,Java,13,284,291,0.976,0,2061,True
diaspora,2010-09-15,2019-09-08,82,Ruby,1867,4159,4582,0.908,1,3281,True
bitcoinbook,2013-08-11,2019-09-09,3,Python,231,185,249,0.743,0,2220,True
ws,2011-11-09,2019-09-09,52,JavaScript,429,1040,1048,0.992,0,2861,True
libra,2019-04-02,2019-09-09,0,Rust,447,162,262,0.618,0,160,False
Chameleon,2014-07-26,2019-09-09,14,Objective-C,57,106,136,0.779,0,1871,False
awesome-rust,2014-07-17,2019-09-09,0,Rust,592,54,66,0.818,0,1880,False
flatpickr,2015-08-10,2019-09-09,128,TypeScript,299,1285,1490,0.862,0,1491,True
github-do-not-ban-us,2019-07-25,2019-09-09,0,JavaScript,1199,302,308,0.981,0,46,True
You-Dont-Need-JavaScript,2016-07-05,2019-09-09,0,CSS,40,8,33,0.242,0,1161,False
nerdtree,2008-03-10,2019-09-09,0,Vim script,223,697,708,0.984,0,4200,False
luigi,2012-09-20,2019-09-09,42,Python,1634,736,770,0.956,0,2545,True
java8-tutorial,2014-03-16,2019-09-09,0,Java,10,0,0,0,0,2003,True
notable,2018-12-22,2019-09-09,15,TypeScript,25,494,742,0.666,0,261,True
uni-app,2018-07-12,2019-09-09,0,JavaScript,51,541,700,0.773,0,424,True
design-blocks,2017-08-03,2019-09-08,7,HTML,26,53,66,0.803,1,767,False
deepdream,2015-07-01,2019-09-09,0, ,5,0,0,0,0,1531,False
diff-so-fancy,2016-02-04,2019-09-09,30,Perl,117,183,190,0.963,0,1313,False
react-canvas,2015-02-05,2019-09-04,0,JavaScript,21,45,106,0.425,5,1677,True
js-must-watch,2014-06-21,2019-09-07,0, ,22,14,15,0.933,2,1906,False
vivus,2014-05-13,2019-09-09,14,JavaScript,29,172,179,0.961,0,1945,True
sass,2010-09-22,2019-09-09,1,JavaScript,246,2167,2257,0.96,0,3274,True
iscroll,2010-12-03,2019-09-09,0,JavaScript,44,483,969,0.498,0,3202,True
scala,2011-12-01,2019-09-09,50,Scala,6348,0,0,0,0,2839,False
textmate,2012-08-08,2019-09-08,170,Objective-C++,82,0,0,0,1,2588,False
git-recipes,2015-10-10,2019-09-09,0, ,24,46,53,0.868,0,1430,False
predictionio,2013-01-25,2019-09-08,1,Scala,189,0,0,0,1,2418,False
guetzli,2016-10-21,2019-09-08,5,C++,61,67,165,0.406,1,1053,True
ccxt,2017-05-14,2019-09-09,0,JavaScript,1710,3444,3750,0.918,0,848,True
apollo-client,2016-02-26,2019-09-09,0,TypeScript,2365,2064,2291,0.901,0,1291,True
matomo,2011-03-30,2019-09-09,427,PHP,3266,8690,10396,0.836,0,3085,True
mui,2014-08-18,2019-09-09,25,JavaScript,16,117,426,0.275,0,1848,True
coreclr,2015-01-30,2019-09-09,72,C#,14842,7529,9507,0.792,0,1683,True
FileSaver.js,2011-07-15,2019-09-09,13,JavaScript,60,427,473,0.903,0,2978,True
selectize.js,2012-08-29,2019-09-08,20,JavaScript,103,605,1157,0.523,1,2567,True
react-dnd,2014-10-19,2019-09-09,114,TypeScript,339,1047,1093,0.958,0,1786,True
SpaceVim,2016-12-26,2019-09-09,14,Vim script,1416,1467,1506,0.974,0,987,False
grunt,2011-09-21,2019-09-08,0,JavaScript,84,1075,1211,0.888,1,2910,True
graphql-spec,2015-07-01,2019-09-09,5,Shell,195,285,348,0.819,0,1531,False
ink,2017-06-12,2019-09-08,18,JavaScript,66,92,127,0.724,1,819,True
lazysizes,2014-10-11,2019-09-09,86,JavaScript,49,493,604,0.816,0,1794,True
pytorch-transformers,2018-10-29,2019-09-09,12,Python,244,678,895,0.758,0,315,True
PromiseKit,2014-04-04,2019-09-08,56,Swift,253,740,755,0.98,1,1984,True
toml,2013-02-24,2019-09-09,5, ,256,297,324,0.917,0,2388,False
rbenv,2011-08-01,2019-09-08,10,Shell,122,835,862,0.969,1,2961,False
fastify,2016-09-28,2019-09-09,125,JavaScript,918,690,735,0.939,0,1076,True
CocoaPods,2011-08-14,2019-09-09,154,Ruby,1408,7167,7331,0.978,0,2948,True
n,2011-01-05,2019-09-09,21,Shell,119,374,380,0.984,0,3169,False
solved-by-flexbox,2013-08-31,2019-09-07,0,CSS,21,68,88,0.773,2,2200,False
NLP-progress,2018-06-22,2019-09-09,0,Python,244,44,60,0.733,0,444,True
Screenshot-to-code,2017-10-16,2019-09-08,0,HTML,5,33,35,0.943,1,693,False
lottie-react-native,2017-01-27,2019-09-09,0,Java,97,331,410,0.807,0,955,True
redux-form,2015-07-31,2019-09-08,196,JavaScript,719,3146,3587,0.877,1,1501,True
quasar,2015-10-05,2019-09-09,145,JavaScript,1452,3000,3177,0.944,0,1435,True
sqlitebrowser,2014-05-04,2019-09-08,30,C++,315,1250,1608,0.777,1,1954,True
roslyn,2015-01-11,2019-09-09,38,C#,15767,13287,19477,0.682,0,1702,True
Signal-Android,2011-12-15,2019-09-09,0,Java,235,6541,6899,0.948,0,2825,True
SVProgressHUD,2011-03-28,2019-09-09,0,Objective-C,125,612,650,0.942,0,3087,False
fullstack,2019-06-02,2019-09-09,0,TypeScript,9,18,29,0.621,0,99,True
react-native-vector-icons,2015-05-15,2019-09-09,55,JavaScript,116,659,861,0.765,0,1578,True
mean,2013-05-22,2019-09-06,15,TypeScript,370,1219,1232,0.989,3,2301,True
react-redux-universal-hot-example,2015-06-23,2019-09-06,1,JavaScript,303,438,807,0.543,3,1539,True
node_redis,2010-09-14,2019-09-08,31,JavaScript,220,885,949,0.933,1,3282,True
cli,2013-07-13,2019-09-09,10,Go,354,345,408,0.846,0,2249,False
mybatis-3,2013-02-14,2019-09-09,29,Java,480,806,902,0.894,0,2398,True
bootstrap-datepicker,2012-03-17,2019-09-08,18,JavaScript,464,935,1628,0.574,1,2732,True
chartist-js,2014-03-09,2019-09-08,5,JavaScript,100,701,992,0.707,1,2010,True
javascript-questions,2019-06-12,2019-09-09,0, ,105,65,76,0.855,0,89,False
spectacle,2010-07-11,2019-09-08,0,Objective-C,31,714,853,0.837,1,3347,False
core,2014-11-18,2019-09-09,75,Shell,840,2206,2302,0.958,0,1756,False
create-react-native-app,2017-01-11,2019-09-08,0,JavaScript,64,666,666,1.0,1,971,True
fanqiang,2015-01-14,2019-09-09,0,JavaScript,0,247,379,0.652,0,1699,True
numpy,2010-09-13,2019-09-09,41,C,5355,5882,7622,0.772,0,3283,True
graphql-engine,2018-06-18,2019-09-08,51,JavaScript,1039,983,1495,0.658,1,448,True
Virgilio,2019-03-12,2019-09-09,0,Jupyter Notebook,50,6,7,0.857,0,181,False
youmightnotneedjquery,2014-01-16,2019-09-09,0,HTML,43,41,101,0.406,0,2062,False
GSYVideoPlayer,2016-11-13,2019-09-09,13,Java,9,2167,2183,0.993,0,1030,True
mithril.js,2014-03-17,2019-09-08,30,JavaScript,854,1265,1402,0.902,1,2002,True
LearningNotes,2016-06-08,2019-09-08,0, ,17,6,67,0.09,1,1188,False
parsedown,2013-07-10,2019-09-09,24,PHP,120,437,472,0.926,0,2252,True
fabric,2009-05-01,2019-09-08,0,Python,108,1197,1524,0.785,1,3783,True
FizzBuzzEnterpriseEdition,2012-11-24,2019-09-08,0,Java,55,56,335,0.167,1,2480,True
leetcode,2014-10-20,2019-09-09,0,C++,71,32,47,0.681,0,1785,True
Dress,2018-02-11,2019-09-09,0,Standard ML,268,167,223,0.749,0,575,False
zipkin,2012-06-06,2019-09-09,54,Java,1310,813,1049,0.775,0,2651,True
nodemailer,2011-01-19,2019-09-09,0,JavaScript,134,874,884,0.989,0,3155,True
logger,2015-03-20,2019-09-09,16,Java,28,130,174,0.747,0,1634,True
Functional-Light-JS,2016-08-17,2019-09-09,0,JavaScript,38,100,113,0.885,0,1118,True
greenDAO,2011-10-22,2019-09-09,7,Java,32,739,868,0.851,0,2879,True
seata,2018-12-28,2019-09-09,22,Java,591,653,824,0.792,0,255,True
tfjs,2018-03-05,2019-09-09,14,TypeScript,294,1216,1660,0.733,0,553,True
bootswatch,2012-02-07,2019-09-09,0,JavaScript,145,688,689,0.999,0,2771,True
redox,2015-04-20,2019-09-09,23,Makefile,580,0,0,0,0,1603,False
CocoaLumberjack,2011-03-31,2019-09-08,38,Objective-C,436,543,554,0.98,1,3084,False
Respond,2011-02-07,2019-09-08,5,JavaScript,35,179,255,0.702,1,3136,True
dnSpy,2015-07-01,2019-09-09,1,C#,40,1100,1195,0.921,0,1531,True
nginx-proxy,2014-05-05,2019-09-09,0,Python,159,506,966,0.524,0,1953,True
DZNEmptyDataSet,2014-06-03,2019-09-08,0,Objective-C,74,145,312,0.465,1,1924,False
Awesome-Linux-Software,2016-08-06,2019-09-09,0,Python,340,88,95,0.926,0,1129,True
NeteaseCloudMusicApi,2016-06-22,2019-09-09,65,JavaScript,57,503,509,0.988,0,1174,True
goreplay,2013-05-30,2019-09-08,31,Go,196,291,436,0.667,1,2293,False
ScrollMagic,2013-09-23,2019-09-08,14,JavaScript,33,396,837,0.473,1,2177,True
